cont__age,cont__household_size,cont__refused_count,cont__tv_news_hours,cont__social_media_hours,cont__job_tenure_years,ord__gender,ord__education,ord__employment_status,ord__employment_sector,ord__income_bracket,ord__marital_status,ord__has_children,ord__voted_last,ord__party_id_strength,ord__union_member,ord__public_sector,ord__home_owner,ord__small_biz_owner,ord__owns_car,ord__wa_groups,ord__attention_check,ord__preference_strength,ord__survey_confidence,ord__trust_media,ord__civic_participation,nom__primary_choice_CAND_Azon,nom__primary_choice_CAND_Boreal,nom__primary_choice_CAND_Civico,nom__primary_choice_CAND_Demetra,nom__primary_choice_CAND_Electra,nom__primary_choice_CAND_Frontera,nom__primary_choice_CAND_Gaia,nom__primary_choice_CAND_Halley,nom__primary_choice_CAND_Icaro,nom__primary_choice_CAND_Jade,nom__secondary_choice_CAND_Azon,nom__secondary_choice_CAND_Boreal,nom__secondary_choice_CAND_Civico,nom__secondary_choice_CAND_Demetra,nom__secondary_choice_CAND_Electra,nom__secondary_choice_CAND_Frontera,nom__secondary_choice_CAND_Gaia,nom__secondary_choice_CAND_Halley,nom__secondary_choice_CAND_Icaro,nom__secondary_choice_CAND_Jade,intended_vote
0.21212121212121215,0.9999999999999999,0.8,0.6000000000000001,0.6000000000000001,0.75,0.5,0.4,1.0,0.8,0.75,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.375,1.0,0.6000000000000001,0.0,0.5,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,CAND_Azon
0.9242424242424243,0.0,0.2,0.6000000000000001,0.2,0.65,0.5,0.0,0.8,0.6000000000000001,0.75,0.5,1.0,1.0,0.75,0.0,0.0,0.0,0.0,1.0,0.375,1.0,0.5,0.1,0.5,0.7000000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,CAND_Azon
0.015151515151515194,0.8333333333333334,0.6000000000000001,0.0,1.0,0.6000000000000001,0.0,0.6000000000000001,0.6000000000000001,0.2,1.0,0.25,0.0,0.0,0.75,1.0,0.0,1.0,0.0,1.0,0.125,1.0,0.6000000000000001,0.0,0.30000000000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAND_Azon
0.40909090909090917,0.5,0.2,0.2,0.4,0.225,0.5,1.0,0.2,0.4,0.25,0.75,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.5,0.5,0.1,0.7000000000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAND_Civico
0.1363636363636364,0.6666666666666666,0.6000000000000001,0.8,0.8,0.7000000000000001,0.0,1.0,0.0,0.6000000000000001,0.5,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.8,0.6000000000000001,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAND_Demetra
0.7424242424242424,0.8333333333333334,1.0,0.6000000000000001,0.8,0.8,0.0,0.8,0.4,1.0,0.5,0.75,0.0,1.0,0.25,0.0,1.0,0.0,0.0,1.0,0.25,1.0,0.30000000000000004,0.0,0.6000000000000001,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAND_Demetra
0.2272727272727273,0.0,0.6000000000000001,0.8,0.4,0.5,0.5,0.0,0.6000000000000001,0.6000000000000001,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.30000000000000004,0.6000000000000001,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,CAND_Civico
0.803030303030303,0.5,0.2,1.0,0.2,0.2,0.0,0.2,0.4,0.2,0.0,0.25,1.0,1.0,0.25,0.0,1.0,0.0,0.0,1.0,0.5,1.0,0.1,0.30000000000000004,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CAND_Electra
0.0,0.8333333333333334,0.6000000000000001,1.0,0.0,0.9750000000000001,0.0,0.2,0.6000000000000001,0.8,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,1.0,0.6000000000000001,0.4,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,CAND_Electra
0.4696969696969697,0.16666666666666666,0.0,0.6000000000000001,0.6000000000000001,0.5,0.5,0.4,0.8,0.6000000000000001,0.25,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.375,1.0,0.6000000000000001,0.5,0.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,CAND_Jade
0.5151515151515151,0.6666666666666666,0.8,0.8,0.4,0.5,0.5,1.0,0.8,0.6000000000000001,1.0,1.0,0.0,1.0,0.25,0.0,1.0,0.0,0.0,1.0,0.125,1.0,0.9,0.1,0.6000000000000001,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,CAND_Azon
0.8636363636363638,0.5,0.2,0.4,0.0,0.5750000000000001,0.0,0.8,0.2,1.0,0.25,0.25,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.375,1.0,1.0,0.7000000000000001,0.4,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAND_Azon
0.2727272727272727,0.33333333333333337,0.2,1.0,0.4,0.65,0.0,0.8,0.8,0.4,0.0,0.5,1.0,1.0,0.25,0.0,1.0,0.0,0.0,1.0,0.875,1.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAND_Electra
0.4545454545454546,0.16666666666666666,1.0,0.4,0.8,0.025,0.0,0.2,0.8,0.6000000000000001,0.25,0.0,1.0,0.0,0.75,0.0,0.0,1.0,0.0,1.0,0.75,1.0,0.8,0.5,0.5,0.30000000000000004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,CAND_Demetra
0.5,0.0,0.2,0.2,0.8,0.15000000000000002,0.5,0.6000000000000001,0.8,0.2,0.75,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.30000000000000004,1.0,0.6000000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CAND_Demetra
0.3030303030303031,0.16666666666666666,0.0,0.0,0.2,0.2,0.0,0.6000000000000001,0.4,1.0,0.0,0.25,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,1.0,0.8,0.5,0.1,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,CAND_Demetra
0.2272727272727273,0.6666666666666666,0.2,0.8,0.0,0.9,0.0,0.2,1.0,0.0,0.75,0.5,1.0,1.0,0.75,0.0,0.0,1.0,0.0,0.0,0.375,1.0,0.0,0.30000000000000004,0.5,0.6000000000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CAND_Civico
0.0,0.6666666666666666,0.4,1.0,0.4,0.05,0.5,0.4,0.8,0.4,1.0,0.75,1.0,1.0,0.25,0.0,0.0,1.0,0.0,0.0,0.375,1.0,0.8,0.2,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,CAND_Gaia
0.03030303030303033,0.5,0.8,0.0,0.2,0.35000000000000003,0.5,0.6000000000000001,1.0,0.2,0.75,0.25,0.0,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.1,0.6000000000000001,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAND_Halley
0.8484848484848486,0.5,0.0,1.0,0.4,0.42500000000000004,0.0,0.0,0.2,0.4,0.75,0.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,CAND_Gaia
0.3787878787878788,0.9999999999999999,0.6000000000000001,0.4,0.2,0.6000000000000001,0.0,0.0,0.0,0.8,0.75,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.30000000000000004,0.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CAND_Azon
0.4242424242424243,0.16666666666666666,0.8,0.4,0.2,0.5,0.5,0.2,1.0,0.6000000000000001,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.25,1.0,0.6000000000000001,0.4,0.9,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAND_Electra
